rule_name,block_id,block_name,row_count,majority_form,majority_count,form_counts,slot_min,slot_max,slot_range,fiber_min,fiber_max,fiber_range,record_indices
fiber_desc,0,edge,6,0,2,"{""0"": 2, ""2"": 2, ""3"": 2}",0,5,5,55,57,2,"[3, 23, 0, 20, 17, 14]"
fiber_desc,1,hinge,6,0,4,"{""0"": 4, ""1"": 2}",0,12,12,12,51,39,"[1, 4, 7, 10, 5, 2]"
fiber_desc,2,closed_face,6,1,4,"{""1"": 4, ""2"": 2}",0,12,12,3,9,6,"[11, 8, 9, 13, 6, 16]"
fiber_desc,3,filled_cell,6,3,4,"{""2"": 2, ""3"": 4}",0,14,14,1,2,1,"[15, 21, 12, 18, 19, 22]"
fiber_desc_slot_asc,0,edge,6,0,2,"{""0"": 2, ""2"": 2, ""3"": 2}",0,5,5,55,57,2,"[3, 23, 0, 20, 17, 14]"
fiber_desc_slot_asc,1,hinge,6,0,4,"{""0"": 4, ""1"": 2}",0,12,12,12,51,39,"[1, 4, 7, 10, 5, 2]"
fiber_desc_slot_asc,2,closed_face,6,1,4,"{""1"": 4, ""2"": 2}",0,12,12,3,9,6,"[11, 8, 9, 13, 6, 16]"
fiber_desc_slot_asc,3,filled_cell,6,3,4,"{""2"": 2, ""3"": 4}",0,14,14,1,2,1,"[15, 21, 12, 18, 19, 22]"
fiber_then_slot_then_lift,0,edge,6,0,2,"{""0"": 2, ""2"": 2, ""3"": 2}",0,5,5,55,57,2,"[3, 23, 0, 20, 17, 14]"
fiber_then_slot_then_lift,1,hinge,6,0,4,"{""0"": 4, ""1"": 2}",0,12,12,12,51,39,"[1, 4, 7, 10, 5, 2]"
fiber_then_slot_then_lift,2,closed_face,6,1,4,"{""1"": 4, ""2"": 2}",0,12,12,3,9,6,"[11, 8, 9, 13, 6, 16]"
fiber_then_slot_then_lift,3,filled_cell,6,3,4,"{""2"": 2, ""3"": 4}",0,14,14,1,2,1,"[15, 21, 12, 18, 19, 22]"
slot_asc,0,edge,6,3,2,"{""1"": 2, ""2"": 2, ""3"": 2}",0,0,0,1,9,8,"[19, 15, 21, 9, 13, 11]"
slot_asc,1,hinge,6,0,3,"{""0"": 3, ""1"": 1, ""2"": 1, ""3"": 1}",0,0,0,12,57,45,"[5, 7, 1, 17, 3, 23]"
slot_asc,2,closed_face,6,0,3,"{""0"": 3, ""1"": 1, ""2"": 1, ""3"": 1}",3,9,6,9,57,48,"[2, 0, 20, 14, 8, 4]"
slot_asc,3,filled_cell,6,1,2,"{""1"": 2, ""2"": 2, ""3"": 2}",12,14,2,1,48,47,"[6, 16, 10, 12, 18, 22]"
slot_asc_fiber_desc,0,edge,6,0,3,"{""0"": 3, ""1"": 1, ""2"": 1, ""3"": 1}",0,0,0,12,57,45,"[3, 23, 17, 1, 7, 5]"
slot_asc_fiber_desc,1,hinge,6,1,2,"{""1"": 2, ""2"": 2, ""3"": 2}",0,0,0,1,9,8,"[11, 9, 13, 15, 21, 19]"
slot_asc_fiber_desc,2,closed_face,6,0,3,"{""0"": 3, ""1"": 1, ""2"": 1, ""3"": 1}",3,9,6,9,57,48,"[0, 20, 2, 14, 8, 4]"
slot_asc_fiber_desc,3,filled_cell,6,1,2,"{""1"": 2, ""2"": 2, ""3"": 2}",12,14,2,1,48,47,"[10, 6, 16, 12, 18, 22]"
slot_range_then_fiber,0,edge,6,0,3,"{""0"": 3, ""1"": 1, ""2"": 1, ""3"": 1}",0,0,0,12,57,45,"[3, 23, 17, 1, 7, 5]"
slot_range_then_fiber,1,hinge,6,1,2,"{""1"": 2, ""2"": 2, ""3"": 2}",0,0,0,1,9,8,"[11, 9, 13, 15, 21, 19]"
slot_range_then_fiber,2,closed_face,6,0,3,"{""0"": 3, ""1"": 1, ""2"": 1, ""3"": 1}",3,9,6,9,57,48,"[0, 20, 2, 14, 8, 4]"
slot_range_then_fiber,3,filled_cell,6,1,2,"{""1"": 2, ""2"": 2, ""3"": 2}",12,14,2,1,48,47,"[10, 6, 16, 12, 18, 22]"
