state,shell_bit,rank_bit,flat_index,pair_index,base_pair_index,node_index,node,residue,sheet,is_closure_pair,observed_lift,node_sheet_eq_1,node_ge_15
O0,0,0,0,0,0,0,23,8,1,0,1,1,1
O0,0,0,1,0,0,1,24,9,1,0,1,1,1
O0,0,0,2,1,1,0,7,7,0,0,0,0,0
O0,0,0,3,1,1,1,12,12,0,0,0,0,0
O0,0,0,4,2,2,0,4,4,0,0,0,0,0
O0,0,0,5,2,2,1,5,5,0,0,0,0,0
O0,0,0,6,3,0,0,23,8,1,1,1,1,1
O0,0,0,7,3,0,1,24,9,1,1,1,1,1
O1,0,1,0,0,0,0,28,13,1,0,1,1,1
O1,0,1,1,0,0,1,29,14,1,0,1,1,1
O1,0,1,2,1,1,0,0,0,0,0,0,0,0
O1,0,1,3,1,1,1,2,2,0,0,0,0,0
O1,0,1,4,2,2,0,4,4,0,0,0,0,0
O1,0,1,5,2,2,1,9,9,0,0,0,0,0
O1,0,1,6,3,0,0,28,13,1,1,1,1,1
O1,0,1,7,3,0,1,29,14,1,1,1,1,1
B0,1,0,0,0,0,0,0,0,0,0,0,0,0
B0,1,0,1,0,0,1,4,4,0,0,0,0,0
B0,1,0,2,1,1,0,2,2,0,0,0,0,0
B0,1,0,3,1,1,1,17,2,1,0,1,1,1
B0,1,0,4,2,2,0,8,8,0,0,0,0,0
B0,1,0,5,2,2,1,18,3,1,0,1,1,1
B0,1,0,6,3,0,0,0,0,0,1,0,0,0
B0,1,0,7,3,0,1,4,4,0,1,0,0,0
B1,1,1,0,0,0,0,7,7,0,0,0,0,0
B1,1,1,1,0,0,1,10,10,0,0,0,0,0
B1,1,1,2,1,1,0,8,8,0,0,0,0,0
B1,1,1,3,1,1,1,18,3,1,0,1,1,1
B1,1,1,4,2,2,0,13,13,0,0,0,0,0
B1,1,1,5,2,2,1,17,2,1,0,1,1,1
B1,1,1,6,3,0,0,7,7,0,1,0,0,0
B1,1,1,7,3,0,1,10,10,0,1,0,0,0
