state,step,from_pair,to_pair,from_residues,to_residues,residue_pair_supported,residue_cross_hit_count,residue_cross_support_count,hits
O0,0,23 24,7 12,8 9,7 12,1,2,5,"[{""examples"": [[23, 27], [38, 42], [53, 57]], ""from_residue"": 8, ""support_count"": 3, ""to_residue"": 12}, {""examples"": [[12, 24], [42, 54]], ""from_residue"": 9, ""support_count"": 2, ""to_residue"": 12}]"
O0,1,7 12,4 5,7 12,4 5,1,3,5,"[{""examples"": [[7, 34], [22, 34]], ""from_residue"": 7, ""support_count"": 2, ""to_residue"": 4}, {""examples"": [[7, 20]], ""from_residue"": 7, ""support_count"": 1, ""to_residue"": 5}, {""examples"": [[19, 27], [49, 57]], ""from_residue"": 12, ""support_count"": 2, ""to_residue"": 4}]"
O0,2,4 5,23 24,4 5,8 9,1,2,3,"[{""examples"": [[19, 23], [49, 53]], ""from_residue"": 4, ""support_count"": 2, ""to_residue"": 8}, {""examples"": [[8, 50]], ""from_residue"": 5, ""support_count"": 1, ""to_residue"": 8}]"
O1,0,28 29,0 2,13 14,0 2,1,3,7,"[{""examples"": [[13, 17], [28, 32], [43, 47]], ""from_residue"": 13, ""support_count"": 3, ""to_residue"": 2}, {""examples"": [[15, 59], [30, 44]], ""from_residue"": 14, ""support_count"": 2, ""to_residue"": 0}, {""examples"": [[17, 59], [32, 44]], ""from_residue"": 14, ""support_count"": 2, ""to_residue"": 2}]"
O1,1,0 2,4 9,0 2,4 9,1,3,6,"[{""examples"": [[0, 19], [4, 15], [4, 45]], ""from_residue"": 0, ""support_count"": 3, ""to_residue"": 4}, {""examples"": [[39, 45]], ""from_residue"": 0, ""support_count"": 1, ""to_residue"": 9}, {""examples"": [[2, 39], [39, 47]], ""from_residue"": 2, ""support_count"": 2, ""to_residue"": 9}]"
O1,2,4 9,28 29,4 9,13 14,1,3,3,"[{""examples"": [[28, 34]], ""from_residue"": 4, ""support_count"": 1, ""to_residue"": 13}, {""examples"": [[4, 59]], ""from_residue"": 4, ""support_count"": 1, ""to_residue"": 14}, {""examples"": [[39, 43]], ""from_residue"": 9, ""support_count"": 1, ""to_residue"": 13}]"
B0,0,0 4,2 17,0 4,2,1,1,1,"[{""examples"": [[2, 45]], ""from_residue"": 0, ""support_count"": 1, ""to_residue"": 2}]"
B0,1,2 17,8 18,2,3 8,1,1,3,"[{""examples"": [[17, 23], [32, 38], [47, 53]], ""from_residue"": 2, ""support_count"": 3, ""to_residue"": 8}]"
B0,2,8 18,0 4,3 8,0 4,1,3,4,"[{""examples"": [[3, 49]], ""from_residue"": 3, ""support_count"": 1, ""to_residue"": 4}, {""examples"": [[8, 30]], ""from_residue"": 8, ""support_count"": 1, ""to_residue"": 0}, {""examples"": [[19, 23], [49, 53]], ""from_residue"": 8, ""support_count"": 2, ""to_residue"": 4}]"
B1,0,7 10,8 18,7 10,3 8,1,2,4,"[{""examples"": [[18, 22], [33, 37], [48, 52]], ""from_residue"": 7, ""support_count"": 3, ""to_residue"": 3}, {""examples"": [[3, 55]], ""from_residue"": 10, ""support_count"": 1, ""to_residue"": 3}]"
B1,1,8 18,13 17,3 8,2 13,1,1,3,"[{""examples"": [[17, 23], [32, 38], [47, 53]], ""from_residue"": 8, ""support_count"": 3, ""to_residue"": 2}]"
B1,2,13 17,7 10,2 13,7 10,1,2,4,"[{""examples"": [[2, 25]], ""from_residue"": 2, ""support_count"": 1, ""to_residue"": 10}, {""examples"": [[22, 28], [37, 43], [52, 58]], ""from_residue"": 13, ""support_count"": 3, ""to_residue"": 7}]"
