state,shell_bit,rank_bit,step,from_c,to_c,hit,pair_index,node_index,node,is_closure_pair,base_pair_index,open_node_index,lift_value,lift_class
B0,1,0,0,2,5,8,2,0,8,0,2,4,0,unlifted
B0,1,0,1,5,0,4,0,1,4,0,0,1,0,unlifted
B0,1,0,1,5,0,4,3,1,4,1,0,1,0,unlifted
B0,1,0,1,5,0,8,2,0,8,0,2,4,0,unlifted
B1,1,1,1,5,2,8,1,0,8,0,1,2,0,unlifted
B1,1,1,2,2,4,8,1,0,8,0,1,2,0,unlifted
B1,1,1,2,2,4,10,0,1,10,0,0,1,0,unlifted
B1,1,1,2,2,4,10,3,1,10,1,0,1,0,unlifted
B1,1,1,2,2,4,13,2,0,13,0,2,4,0,unlifted
O0,0,0,2,14,11,4,2,0,4,0,2,4,0,unlifted
O0,0,0,2,14,11,5,2,1,5,0,2,5,0,unlifted
O0,0,0,2,14,11,7,1,0,7,0,1,2,0,unlifted
O0,0,0,2,14,11,8,0,0,23,0,0,0,1,lifted
O0,0,0,2,14,11,8,3,0,23,1,0,0,1,lifted
O1,0,1,2,10,13,2,1,1,2,0,1,3,0,unlifted
O1,0,1,2,10,13,4,2,0,4,0,2,4,0,unlifted
O1,0,1,2,10,13,9,2,1,9,0,2,5,0,unlifted
