state,candidate_index,relay_block,sum,min,max,is_selected,matches_target
O0,0,"[0, 1, 3]",4,0,3,0,0
O0,1,"[0, 1, 4]",5,0,4,0,0
O0,2,"[0, 1, 5]",6,0,5,0,0
O0,3,"[0, 1, 7]",8,0,7,0,0
O0,4,"[0, 1, 8]",9,0,8,0,0
O0,5,"[0, 3, 4]",7,0,4,0,0
O0,6,"[0, 3, 5]",8,0,5,0,0
O0,7,"[0, 3, 7]",10,0,7,0,0
O0,8,"[0, 3, 8]",11,0,8,0,0
O0,9,"[0, 4, 5]",9,0,5,0,0
O0,10,"[0, 4, 7]",11,0,7,0,0
O0,11,"[0, 4, 8]",12,0,8,0,0
O0,12,"[0, 5, 7]",12,0,7,0,0
O0,13,"[0, 5, 8]",13,0,8,0,0
O0,14,"[0, 7, 8]",15,0,8,0,0
O0,15,"[1, 3, 4]",8,1,4,0,0
O0,16,"[1, 3, 5]",9,1,5,0,0
O0,17,"[1, 3, 7]",11,1,7,0,0
O0,18,"[1, 3, 8]",12,1,8,0,0
O0,19,"[1, 4, 5]",10,1,5,0,0
O0,20,"[1, 4, 7]",12,1,7,0,0
O0,21,"[1, 4, 8]",13,1,8,0,0
O0,22,"[1, 5, 7]",13,1,7,0,0
O0,23,"[1, 5, 8]",14,1,8,0,0
O0,24,"[1, 7, 8]",16,1,8,0,0
O0,25,"[3, 4, 5]",12,3,5,0,0
O0,26,"[3, 4, 7]",14,3,7,0,0
O0,27,"[3, 4, 8]",15,3,8,0,0
O0,28,"[3, 5, 7]",15,3,7,0,0
O0,29,"[3, 5, 8]",16,3,8,0,0
O0,30,"[3, 7, 8]",18,3,8,0,0
O0,31,"[4, 5, 7]",16,4,7,1,1
O0,32,"[4, 5, 8]",17,4,8,0,0
O0,33,"[4, 7, 8]",19,4,8,0,0
O0,34,"[5, 7, 8]",20,5,8,0,0
O1,0,"[2, 4, 6]",12,2,6,0,0
O1,1,"[2, 4, 7]",13,2,7,0,0
O1,2,"[2, 4, 9]",15,2,9,1,1
O1,3,"[2, 6, 7]",15,2,7,0,0
O1,4,"[2, 6, 9]",17,2,9,0,0
O1,5,"[2, 7, 9]",18,2,9,0,0
O1,6,"[4, 6, 7]",17,4,7,0,0
O1,7,"[4, 6, 9]",19,4,9,0,0
O1,8,"[4, 7, 9]",20,4,9,0,0
O1,9,"[6, 7, 9]",22,6,9,0,0
B0,0,"[1, 8]",9,1,8,0,0
B0,1,"[1, 11]",12,1,11,0,0
B0,2,"[1, 14]",15,1,14,0,0
B0,3,"[4, 8]",12,4,8,1,1
B0,4,"[4, 11]",15,4,11,0,0
B0,5,"[4, 14]",18,4,14,0,0
B0,6,"[8, 11]",19,8,11,0,0
B0,7,"[8, 14]",22,8,14,0,0
B0,8,"[11, 14]",25,11,14,0,0
B1,0,"[0, 8, 10]",18,0,10,0,0
B1,1,"[0, 8, 11]",19,0,11,0,0
B1,2,"[0, 8, 13]",21,0,13,0,0
B1,3,"[0, 8, 14]",22,0,14,0,0
B1,4,"[0, 10, 11]",21,0,11,0,0
B1,5,"[0, 10, 14]",24,0,14,0,0
B1,6,"[0, 11, 13]",24,0,13,0,0
B1,7,"[0, 11, 14]",25,0,14,0,0
B1,8,"[0, 13, 14]",27,0,14,0,0
B1,9,"[8, 10, 11]",29,8,11,0,0
B1,10,"[8, 10, 13]",31,8,13,1,1
B1,11,"[8, 10, 14]",32,8,14,0,0
B1,12,"[8, 11, 13]",32,8,13,0,0
B1,13,"[8, 11, 14]",33,8,14,0,0
B1,14,"[8, 13, 14]",35,8,14,0,0
B1,15,"[10, 11, 13]",34,10,13,0,0
B1,16,"[10, 11, 14]",35,10,14,0,0
B1,17,"[10, 13, 14]",37,10,14,0,0
B1,18,"[11, 13, 14]",38,11,14,0,0
