state,b,r,c_row,anchor_col,selected_candidate_index,c_key,anchor_key,target,observed,predicted,match
O0,0,0,0,1,1,11,0,free_sum,2,2,True
O0,0,0,0,1,1,11,0,relay_max,0,0,True
O0,0,0,0,1,1,11,0,relay_sum,-3,-3,True
O1,0,1,1,2,6,13,12,free_sum,3,3,True
O1,0,1,1,2,6,13,12,relay_max,0,0,True
O1,0,1,1,2,6,13,12,relay_sum,0,0,True
B0,1,0,2,0,8,2,4,free_sum,0,0,True
B0,1,0,2,0,8,2,4,relay_max,-2,-2,True
B0,1,0,2,0,8,2,4,relay_sum,-1,-1,True
B1,1,1,3,3,15,4,13,free_sum,1,1,True
B1,1,1,3,3,15,4,13,relay_max,1,1,True
B1,1,1,3,3,15,4,13,relay_sum,1,1,True
